gene,id,tpm,log2tpm,SampleID,sample_type_code,sample_type,project,tumor_type,median_log2tpm,n,tumor_type_n
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-5360-01A-01R-1436-07,65.7937,6.04009680075635,TCGA-CN-5360,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-DQ-5631-01A-01R-1873-07,199.354,7.6392611094886,TCGA-DQ-5631,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-QK-A6V9-01A-11R-A34R-07,94.5236,6.56275529128687,TCGA-QK-A6V9,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-5430-01A-02R-1686-07,1.3618,0.456070160781307,TCGA-CV-5430,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-A497-01A-11R-A24H-07,113.9909,6.83290140381747,TCGA-CN-A497,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7177-01A-11R-2016-07,928.5407,9.85883687499373,TCGA-CV-7177,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-7386-01A-11R-2016-07,64.7023,6.01596804918347,TCGA-CR-7386,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BA-5153-01A-01R-1436-07,1.0157,0.0366088286051014,TCGA-BA-5153,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7235-01A-11R-2016-07,136.3862,7.0916596411931,TCGA-CV-7235,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BA-5556-01A-01R-1514-07,110.5928,6.78924409881011,TCGA-BA-5556,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-4742-01A-02R-1514-07,30.9148,4.95069235977563,TCGA-CN-4742,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-HD-8314-01A-11R-2403-07,1.2754,0.362217377487169,TCGA-HD-8314,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-HD-7754-01A-11R-2081-07,30.4625,4.92943596017752,TCGA-HD-7754,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-P3-A6T8-01A-11R-A34R-07,272.4242,8.08976401307079,TCGA-P3-A6T8,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CQ-6223-01A-11R-1915-07,8.5306,3.09433742659259,TCGA-CQ-6223,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-5444-01A-02R-1514-07,85.1031,6.4113092931974,TCGA-CV-5444,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-4726-01A-01R-1436-07,74.5062,6.21948219991117,TCGA-CN-4726,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-4725-01A-01R-1436-07,805.9039,9.65448190609855,TCGA-CN-4725,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-A461-01A-41R-A266-07,90.8439,6.50547653989046,TCGA-CV-A461,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BB-7861-01A-11R-2232-07,8.6598,3.11599871290083,TCGA-BB-7861,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-A6JN-01A-11R-A31N-07,190.5635,7.57420371050959,TCGA-CV-A6JN,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-P3-A6T5-01A-11R-A34R-07,31.0335,4.95621931826238,TCGA-P3-A6T5,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-HD-7753-01A-11R-2081-07,1237.6644,10.273416113521,TCGA-HD-7753,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CX-7086-01A-11R-2081-07,123.1677,6.94459728500037,TCGA-CX-7086,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7568-01A-11R-2232-07,390.1641,8.60797420390384,TCGA-CV-7568,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-5365-01A-01R-1436-07,125.1647,6.96779918756483,TCGA-CN-5365,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7430-01A-11R-2132-07,36.5612,5.19263606107021,TCGA-CV-7430,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-5363-01A-01R-1436-07,157.994,7.30381727163987,TCGA-CN-5363,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BA-5559-01A-01R-1514-07,3.052,1.6144742828377,TCGA-BA-5559,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7236-01A-11R-2016-07,176.7642,7.46576392011412,TCGA-CV-7236,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-HD-7917-01A-11R-2232-07,307.8591,8.2661732649722,TCGA-HD-7917,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7248-01A-11R-2016-07,51.7288,5.69317468825819,TCGA-CV-7248,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-F7-A50I-01A-11R-A28V-07,699.6576,9.45052587507953,TCGA-F7-A50I,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-6955-01A-11R-2016-07,1.6496,0.730835562322201,TCGA-CV-6955,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-UF-A71A-01A-22R-A34R-07,37.4995,5.22918412695291,TCGA-UF-A71A,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BB-7864-01A-11R-2232-07,379.457,8.56783061821804,TCGA-BB-7864,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-HD-8635-01A-11R-2403-07,285.2807,8.15628890801379,TCGA-HD-8635,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-UF-A7JH-01A-21R-A34R-07,214.1177,7.74232762757052,TCGA-UF-A7JH,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-6962-01A-11R-1915-07,259.6426,8.02043886152559,TCGA-CV-6962,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-4736-01A-01R-1436-07,35.0098,5.13009893937179,TCGA-CN-4736,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-D6-6517-01A-11R-1873-07,205.3973,7.68234364449146,TCGA-D6-6517,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CQ-A4C6-01A-11R-A24Z-07,217.1976,7.76293077307578,TCGA-CQ-A4C6,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-6491-01A-11R-1873-07,109.9964,6.78144364970346,TCGA-CR-6491,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CQ-5330-01A-01R-1686-07,308.7594,8.27038597393608,TCGA-CQ-5330,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-A6JY-01A-11R-A31N-07,43.8008,5.4532146538873,TCGA-CV-A6JY,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7180-01A-11R-2016-07,44.5323,5.47710415038448,TCGA-CV-7180,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CQ-5334-01A-01R-1686-07,7.4807,2.90510054369612,TCGA-CQ-5334,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-5367-01A-01R-1436-07,72.8242,6.18654413575788,TCGA-CN-5367,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-6484-01A-11R-1873-07,6.3812,2.67608683438232,TCGA-CR-6484,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-6470-01A-11R-1873-07,11.006,3.46152855947288,TCGA-CR-6470,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7429-01A-11R-2132-07,562.7194,9.1362975292608,TCGA-CV-7429,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-7388-01A-11R-2016-07,64.4896,6.01121830844952,TCGA-CR-7388,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BB-7862-01A-21R-2232-07,1392.4017,10.4433701264024,TCGA-BB-7862,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-QK-A8ZB-01A-11R-A39I-07,662.4896,9.3717757732765,TCGA-QK-A8ZB,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7425-01A-11R-2081-07,23.9208,4.58079672146461,TCGA-CV-7425,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BA-5555-01A-01R-1514-07,101.3341,6.66311829092776,TCGA-BA-5555,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-6995-01A-31R-2016-07,143.2289,7.16227953444332,TCGA-CN-6995,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-6020-01A-11R-1686-07,217.498,7.7649246544054,TCGA-CN-6020,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CQ-6218-01A-11R-1915-07,237.1493,7.88971263335897,TCGA-CQ-6218,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BB-7872-01A-11R-2232-07,1055.9363,10.0443207531713,TCGA-BB-7872,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-6467-01A-11R-1873-07,1.0754,0.118226813792948,TCGA-CR-6467,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-6933-01A-11R-1915-07,112.0648,6.80831811464389,TCGA-CV-6933,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-6945-01A-11R-1915-07,389.1359,8.60416734689581,TCGA-CV-6945,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-6954-01A-11R-1915-07,372.9969,8.54305850793275,TCGA-CV-6954,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-UF-A719-01A-12R-A34R-07,5.958,2.57724753559315,TCGA-UF-A719,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-5370-01A-01R-2016-07,158.9455,7.31247912563059,TCGA-CN-5370,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CQ-6221-01A-11R-2081-07,17.0652,4.09383057163514,TCGA-CQ-6221,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7089-01A-11R-2016-07,117.4502,6.876028189208,TCGA-CV-7089,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-7421-01A-11R-2081-07,512.2664,9.00077861975338,TCGA-CV-7421,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-TN-A7HI-01A-11R-A34R-07,2.0361,1.03287665631421,TCGA-TN-A7HI,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-IQ-A61E-01A-22R-A30B-07,152.1394,7.24934483438155,TCGA-IQ-A61E,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-F7-8489-01A-31R-2403-07,439.0634,8.77831832535395,TCGA-F7-8489,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CN-A498-01A-11R-A24H-07,105.9927,6.72795720198774,TCGA-CN-A498,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-7369-01A-11R-2132-07,141.336,7.14308724618883,TCGA-CR-7369,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BA-6868-01B-12R-1915-07,494.4615,8.94974356011488,TCGA-BA-6868,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-A45Z-01A-21R-A24Z-07,36.5426,5.19190212414846,TCGA-CV-A45Z,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-5432-01A-02R-1686-07,499.5128,8.96440671903613,TCGA-CV-5432,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-RS-A6TO-01A-32R-A34R-07,172.0297,7.42659771042423,TCGA-RS-A6TO,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-BA-A6DG-01A-21R-A30B-07,220.4398,7.78430635786407,TCGA-BA-A6DG,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CR-7380-01A-11R-2016-07,73.8763,6.20723497949758,TCGA-CR-7380,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-T3-A92N-01A-11R-A39I-07,97.914,6.6135905853352,TCGA-T3-A92N,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-WA-A7H4-01A-21R-A34R-07,153.8119,7.26511710771789,TCGA-WA-A7H4,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-KU-A66S-01A-21R-A30B-07,168.7453,7.39878900253757,TCGA-KU-A66S,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-5439-01A-01R-1686-07,59.0448,5.88398242216022,TCGA-CV-5439,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-D6-A6EN-01A-11R-A31N-07,35.2145,5.13850732299388,TCGA-D6-A6EN,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CQ-7068-01A-11R-2081-07,59.1634,5.88687688708895,TCGA-CQ-7068,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-5443-01A-01R-1514-07,0.7485,-0.398778914415053,TCGA-CV-5443,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CX-7219-01A-11R-2016-07,73.1117,6.19222770676392,TCGA-CX-7219,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-HD-A6I0-01A-11R-A31N-07,60.9244,5.92918501428392,TCGA-HD-A6I0,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-CV-5978-01A-11R-1686-07,81.9839,6.35744467819005,TCGA-CV-5978,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
ENSG00000087494.16|PTHLH|protein_coding|5744|12,TCGA-P3-A5QE-01A-11R-A28V-07,20.2313,4.3392300451629,TCGA-P3-A5QE,01,TP,TCGA-HNSC,HNSC,6.5383345400613,520,HNSC (n=520)
